ts_code,trade_date,adj_factor
000899.SZ,20250922,3.8076
000900.SZ,20250922,15.4383
000901.SZ,20250922,6.547
000902.SZ,20250922,3.9041
000903.SZ,20250922,12.021
000905.SZ,20250922,2.7389
000906.SZ,20250922,5.6776
000908.SZ,20250922,2.83
000909.SZ,20250922,2.133
000910.SZ,20250922,2.7159
000911.SZ,20250922,1.889
000912.SZ,20250922,2.301
000913.SZ,20250922,3.0353
000915.SZ,20250922,3.9239
000917.SZ,20250922,8.0062
000919.SZ,20250922,3.9559
000920.SZ,20250922,3.2965
000921.SZ,20250922,1.5797
000922.SZ,20250922,2.892
000923.SZ,20250922,1.8584
000925.SZ,20250922,3.0299
000926.SZ,20250922,4.9603
000927.SZ,20250922,1.6131
000928.SZ,20250922,2.6026
000929.SZ,20250922,2.498
000930.SZ,20250922,6.346
000931.SZ,20250922,1.54
000932.SZ,20250922,2.6391
000933.SZ,20250922,15.1428
000935.SZ,20250922,3.25
000936.SZ,20250922,6.7189
000937.SZ,20250922,13.4698
000938.SZ,20250922,7.1399
000948.SZ,20250922,2.5825
000949.SZ,20250922,4.9337
000950.SZ,20250922,2.4836
000951.SZ,20250922,5.1487
000952.SZ,20250922,2.568
000953.SZ,20250922,2.608
000955.SZ,20250922,2.46
000957.SZ,20250922,5.1636
000958.SZ,20250922,4.7698
000959.SZ,20250922,2.3635
000960.SZ,20250922,3.5602
000962.SZ,20250922,3.3899
000963.SZ,20250922,13.4846
000965.SZ,20250922,2.8806
000966.SZ,20250922,4.0428
000967.SZ,20250922,5.7469
000968.SZ,20250922,1.9832
000969.SZ,20250922,7.0274
000970.SZ,20250922,18.0282
000972.SZ,20250922,3.266
000973.SZ,20250922,4.0331
000975.SZ,20250922,11.001
000977.SZ,20250922,6.6761
000978.SZ,20250922,3.133
000980.SZ,20250922,2.078
000981.SZ,20250922,8.802
000983.SZ,20250922,11.8895
000985.SZ,20250922,1.6902
000987.SZ,20250922,8.5791
000988.SZ,20250922,10.2135
000989.SZ,20250922,5.6295
000990.SZ,20250922,3.2046
000993.SZ,20250922,1.855
000995.SZ,20250922,1.686
000997.SZ,20250922,12.0752
000998.SZ,20250922,11.07
000999.SZ,20250922,3.8376
001201.SZ,20250922,1.717
001202.SZ,20250922,1.3969
001203.SZ,20250922,1.085
001205.SZ,20250922,1.4336
001206.SZ,20250922,2.3231
001207.SZ,20250922,1.0955
001208.SZ,20250922,1.0263
001209.SZ,20250922,1.489
001210.SZ,20250922,1.8557
001211.SZ,20250922,1.0488
001212.SZ,20250922,1.8641
001213.SZ,20250922,1.0437
001215.SZ,20250922,1.0117
001216.SZ,20250922,1.0884
001217.SZ,20250922,1.0463
001218.SZ,20250922,1.583
001219.SZ,20250922,2.3431
001221.SZ,20250922,1.0
001222.SZ,20250922,1.4622
001223.SZ,20250922,1.4323
001225.SZ,20250922,1.1072
001226.SZ,20250922,1.0423
001227.SZ,20250922,1.1581
001228.SZ,20250922,1.0632
001229.SZ,20250922,1.0521
001230.SZ,20250922,1.2516
001231.SZ,20250922,1.0263
001234.SZ,20250922,1.105
001236.SZ,20250922,1.0028
001238.SZ,20250922,1.0076
001239.SZ,20250922,1.0
001255.SZ,20250922,1.0103
001256.SZ,20250922,1.0327
001258.SZ,20250922,1.021
001259.SZ,20250922,1.025
001260.SZ,20250922,1.0394
001266.SZ,20250922,1.4625
001267.SZ,20250922,1.0382
001268.SZ,20250922,1.0504
001269.SZ,20250922,1.461
001270.SZ,20250922,1.832
001277.SZ,20250922,1.015
001278.SZ,20250922,1.0166
001279.SZ,20250922,1.0029
001282.SZ,20250922,2.0013
001283.SZ,20250922,1.0259
001286.SZ,20250922,1.1168
001287.SZ,20250922,1.0152
001288.SZ,20250922,1.446
001289.SZ,20250922,1.0408
001296.SZ,20250922,1.9288
001298.SZ,20250922,3.1081
001299.SZ,20250922,1.3967
001300.SZ,20250922,1.0057
001301.SZ,20250922,1.0481
001306.SZ,20250922,1.0159
001308.SZ,20250922,1.8261
001309.SZ,20250922,2.5612
001311.SZ,20250922,2.3269
001313.SZ,20250922,1.016
001314.SZ,20250922,1.022
001316.SZ,20250922,1.4839
001317.SZ,20250922,1.0174
001318.SZ,20250922,1.0414
001319.SZ,20250922,1.0633
001322.SZ,20250922,1.0417
001323.SZ,20250922,1.2709
001324.SZ,20250922,1.018
001326.SZ,20250922,1.0459
001328.SZ,20250922,1.0586
001330.SZ,20250922,1.0
001331.SZ,20250922,2.4011
001332.SZ,20250922,1.496
001333.SZ,20250922,1.0596
001335.SZ,20250922,1.004
001336.SZ,20250922,1.0159
001337.SZ,20250922,1.0299
001338.SZ,20250922,1.0386
001339.SZ,20250922,1.0074
001356.SZ,20250922,1.0027
001358.SZ,20250922,1.4787
001359.SZ,20250922,1.0232
001360.SZ,20250922,1.0254
001366.SZ,20250922,1.02
001367.SZ,20250922,2.2329
001368.SZ,20250922,1.0872
001373.SZ,20250922,1.0113
001376.SZ,20250922,1.0257
001378.SZ,20250922,1.0466
001379.SZ,20250922,1.015
001380.SZ,20250922,2.1598
001382.SZ,20250922,1.0116
001387.SZ,20250922,1.3407
001388.SZ,20250922,1.0124
001389.SZ,20250922,1.0155
001390.SZ,20250922,1.0
