secucode,code,name,industry,market,listing_date
600482.SH,600482,中国动力,船舶,主板,2004-07-14
600961.SH,600961,株冶集团,铅锌,主板,2004-08-30
600962.SH,600962,国投中鲁,软饮料,主板,2004-06-22
600965.SH,600965,*ST福成,农业综合,主板,2004-07-13
600971.SH,600971,恒源煤电,煤炭开采,主板,2004-08-17
600973.SH,600973,宝胜股份,电气设备,主板,2004-08-02
600979.SH,600979,广安爱众,水力发电,主板,2004-09-06
600981.SH,600981,苏豪汇鸿,商贸代理,主板,2004-06-30
600982.SH,600982,宁波能源,供气供热,主板,2004-07-06
600983.SH,600983,惠而浦,家用电器,主板,2004-07-27
600984.SH,600984,建设机械,工程机械,主板,2004-07-07
600987.SH,600987,航民股份,纺织,主板,2004-08-09
600027.SH,600027,华电国际,火力发电,主板,2005-02-03
002039.SZ,002039,黔源电力,水力发电,主板,2005-03-03
002040.SZ,002040,南京港,港口,主板,2005-03-25
600970.SH,600970,中材国际,建筑工程,主板,2005-04-12
002041.SZ,002041,登海种业,种植业,主板,2005-04-18
002042.SZ,002042,华孚时尚,纺织,主板,2005-04-27
002043.SZ,002043,兔宝宝,其他建材,主板,2005-05-10
002044.SZ,002044,美年健康,医疗保健,主板,2005-05-18
002045.SZ,002045,国光电器,元器件,主板,2005-05-23
002046.SZ,002046,国机精工,机械基件,主板,2005-05-26
002047.SZ,002047,*ST宝鹰,装修装饰,主板,2005-05-31
002048.SZ,002048,宁波华翔,汽车配件,主板,2005-06-03
002049.SZ,002049,紫光国微,半导体,主板,2005-06-06
002050.SZ,002050,三花智控,家用电器,主板,2005-06-07
300150.SZ,300150,世纪瑞尔,软件服务,创业板,2010-12-22
002051.SZ,002051,中工国际,建筑工程,主板,2006-06-19
002052.SZ,002052,同洲电子,家用电器,主板,2006-06-27
002053.SZ,002053,云南能投,新型电力,主板,2006-06-27
601001.SH,601001,晋控煤业,煤炭开采,主板,2006-06-23
601988.SH,601988,中国银行,银行,主板,2006-07-05
002054.SZ,002054,德美化工,染料涂料,主板,2006-07-25
002055.SZ,002055,ST得润,元器件,主板,2006-07-25
002056.SZ,002056,横店东磁,电气设备,主板,2006-08-02
600048.SH,600048,保利发展,全国地产,主板,2006-07-31
002057.SZ,002057,中钢天源,矿物制品,主板,2006-08-02
002058.SZ,002058,*ST威尔,电气设备,主板,2006-08-02
002059.SZ,002059,云南旅游,旅游景点,主板,2006-08-10
601006.SH,601006,大秦铁路,铁路,主板,2006-08-01
002060.SZ,002060,广东建工,建筑工程,主板,2006-08-10
