rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
287,001391,国货航,交通运输、仓储和邮政业-航空运输业,80.90787716955941,0.4500000000000002,0.9999999999999999,0.19999999999999996,0.75,-0.9999999999999989,-0.05457746478873238,-0.05954465849387036,-0.10200668896321075,-0.05349431567815277,0.9788142142896011,1.374,1.3405,0.017329071895363334,0.35,-0.12520868113522532,115782175.65450001,5.34,2026-03-24
288,603922,金鸿顺,制造业-汽车制造业,80.8411214953271,0.4498694158575097,1.1498290294147258,0.35918690975254064,-0.1725849512499254,-0.4356128873102044,0.02324478178368139,-0.02837837837837831,-0.036193029490616535,0.011180648336966525,1.0592603370024378,3.47,3.1189999999999998,0.04127149246562591,0.45,-0.17066783064164126,119493183.1,21.45,2026-03-24
289,301307,美利信,制造业-金属制品业,80.77436582109479,0.449445886450634,0.3018209972415654,0.7629277208614544,0.47153927894184583,0.2911846770018336,-0.08140074211502779,-0.016877637130801704,0.06307031669350516,0.024506951180083725,0.9656372652412106,8.477999999999998,8.779,0.04542311388050801,0.55,-0.13450834879406304,374781854.25,39.67,2026-03-24
290,600508,上海能源,采矿业-煤炭开采和洗选业,80.70761014686248,0.44845506412389713,0.9158439957369074,0.15368195840309135,0.6162831546465466,-0.5303976980063204,0.07235338918507228,0.0626415094339623,0.09657320872274155,0.049767008387697986,1.0900887686541751,2.312,2.1325,0.024301875269416157,0.55,-0.06012884753042236,207391445.45,14.06,2026-03-24
291,002629,仁智股份,采矿业-开采专业及辅助性活动,80.64085447263018,0.4423148805831783,0.553650073388886,1.3578324723052955,-0.1593776607343737,-0.578184898012168,-0.0911680911680911,-0.010852713178294615,-0.042042042042042094,-0.04832935560859175,0.6730003707842013,7.784000000000001,10.831000000000001,0.04358523939173873,0.5,-0.24290998766954375,316623427.16349995,6.36,2026-03-24
292,601222,林洋能源,制造业-电气机械和器材制造业,80.57409879839787,0.44212745323561675,0.7930229060723967,-0.22261444806611433,1.4839570506358724,-0.7747967153599186,0.029595015576324046,-0.022189349112425982,0.07131280388978944,0.02743452242169897,0.9139317988079202,2.098,2.277,0.017821695647187063,0.6,-0.07680945347119639,303127387.8,6.59,2026-03-24
293,605099,共创草坪,制造业-橡胶和塑料制品业,80.50734312416556,0.44125662749686323,1.140782296077554,0.6846543743274833,-0.4217999371982056,-0.6790659805092538,0.10428825171276346,-0.014046216583597615,-0.015607328658674424,0.020649866907444858,1.3964635892201742,1.548,1.14545,0.052919179828879136,0.45,-0.15654461740846304,182658220.5,43.89,2026-03-24
294,600110,诺德股份,制造业-计算机、通信和其他电子设备制造业,80.44058744993325,0.441188159517221,0.3926861764431862,0.22695565285555136,0.939724489099198,0.2628658527081272,-0.024691358024691246,-0.03658536585365846,-0.033047735618115026,-0.00990099009901002,0.8049983423902433,5.826,6.9245,0.0340218618317496,0.6,-0.12868949232585603,968991642.0,7.9,2026-03-24
295,600686,金龙汽车,制造业-汽车制造业,80.37383177570094,0.4398844445845422,1.1421362010517222,0.22936222345801824,-0.1660601001623722,-0.2739904777878459,0.005760368663594528,0.012761020881670637,-0.08298319327731085,0.032586196699982306,1.063493429421063,2.694,2.446,0.038888023288513776,0.4,-0.15932572050027183,296994799.65,17.46,2026-03-24
296,002083,孚日股份,制造业-纺织业,80.30707610146862,0.43759182118825113,0.3091399109014725,0.7331982326370003,0.48962468222211064,0.21807574815993264,0.015596330275229331,-0.03403141361256545,-0.07518796992481203,0.000994664978750226,1.0196456060520422,4.378,4.0825000000000005,0.03974054028992098,0.5,-0.1457975986277873,431154184.9135,11.06,2026-03-24
297,000537,绿发电力,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,80.24032042723631,0.43057646042752107,0.9455088057394082,0.3598047871406258,-0.5270741688846923,0.45224383415693165,0.10704960835509136,0.11873350923482873,0.3250266273401333,0.15522902120386278,1.335246698403612,6.862,5.158999999999999,0.05999349731269606,0.65,-0.1318944844124701,1221855954.7165,12.63,2026-03-24
298,002100,天康生物,制造业-农副食品加工业,80.173564753004,0.42730597047842217,0.26602164044476784,0.22878753233361937,1.2007898118357012,0.15694979233313264,-0.06501950585175553,-0.06744487678339817,0.027142857142857135,-0.029165541452876087,0.9903982451730636,2.726,2.721,0.026060972391396483,0.65,-0.09948979591836737,276812359.08500004,7.17,2026-03-24
299,002903,宇环数控,制造业-通用设备制造业,80.10680907877169,0.42445326121472854,0.40535877217727556,0.43006433980203995,-0.3411062356468276,1.4867660968178256,-0.09553928095872166,-0.06792452830188667,0.13920335429769382,-0.007561091427110256,0.5275672226786241,9.972,14.521025,0.04975315060554353,0.55,-0.18498227521753152,548413709.7885001,27.23,2026-03-24
300,603128,华贸物流,交通运输、仓储和邮政业-多式联运和运输代理业,80.04005340453939,0.4226389088694291,0.66016986441393,0.3019437212534773,1.052501516547723,-0.8494351367937116,-0.053962900505902134,-0.05714285714285716,-0.06343906510851416,-0.04761904761904756,0.6340390634796808,0.9509000000000001,1.3459999999999999,0.01722263248493497,0.5,-0.11056910569105705,104547376.05,5.58,2026-03-24
301,300580,贝斯特,制造业-汽车制造业,79.97329773030708,0.42078860753200253,0.5796844270854616,0.37856551819575096,1.0605890711170316,-0.7856290471635083,-0.013661202185792365,-0.03389830508474578,-0.11265874641540352,-0.023422529813566628,1.2425639746358814,1.488,1.1785,0.010187293655204172,0.4,-0.10766045548654235,124172637.57000001,21.67,2026-03-24
302,600367,红星发展,制造业-化学原料和化学制品制造业,79.90654205607477,0.4179519263986555,0.15647860763398125,1.031831892571833,-1.0043969221324396,1.9885459641906182,-0.12661011184532248,-0.012780960775672257,0.0953545232273838,-0.06514753140520013,0.6808248546299044,11.684000000000001,14.521025,0.05478491208263718,0.45,-0.2178770949720671,1316630092.9,22.5,2026-03-24
303,600125,铁龙物流,交通运输、仓储和邮政业-铁路运输业,79.83978638184246,0.416215877431126,1.1313641341009462,-0.754375314553207,0.8488168784772068,-0.11666215510928069,0.0,-0.004524886877828038,0.03937007874015741,0.010797151389845938,0.8131391588227631,1.918,2.2984999999999998,0.021784207281573712,0.6,-0.08172362555720669,196382669.15,6.46,2026-03-24
