ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
600026.SH,20250926,2.6651,0.57,17.4672,1.5705,5763097.8852,4197529.8852
002145.SZ,20250926,3.9509,0.4,38.729,1.6701,2013729.5848,1972573.7583
300310.SZ,20250926,3.6465,0.85,,2.7675,525468.4845,412366.7058
600338.SH,20250926,4.2273,0.84,28.1667,2.7358,1133620.6083,1133620.6083
300255.SZ,20250926,2.7316,0.95,,26.2967,4031001.0109,4025014.1209
002116.SZ,20250926,1.208,0.73,13.3249,1.808,462793.8642,453948.7544
000959.SZ,20250926,4.0629,0.35,42.5067,0.6227,3117496.8827,2615919.9861
000027.SZ,20250926,1.8515,0.57,16.1009,0.9701,3149392.1244,3149392.1244
688685.SH,20250926,2.8433,0.65,150.3344,10.8909,869651.4687,869651.4687
688191.SH,20250926,4.4927,1.17,153.92,8.2107,693792.8582,693792.8582
603976.SH,20250926,1.8396,0.67,129.2876,2.524,296809.7262,296809.7262
688063.SH,20250926,4.7514,1.01,414.3738,1.6011,1456207.1428,1456207.1428
002217.SZ,20250926,4.6552,0.5,10.2263,12.898,2408366.4548,1829068.6399
920689.BJ,20250926,5.8696,0.99,50.4509,5.7549,268717.4,138863.9888
000532.SZ,20250926,2.4571,0.6,30.7168,3.3324,500171.8013,498490.6814
002326.SZ,20250926,9.3629,1.12,,5.69,1563001.9428,1365553.8145
002808.SZ,20250926,2.3201,0.54,,4.7664,126604.8,77717.7921
603903.SH,20250926,8.9412,0.82,,1.9578,298723.7916,298723.7916
300086.SZ,20250926,21.5036,2.12,,2.9676,322228.083,312003.2256
