rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
185,301021,英诺激光,专用机械,38.666666666666664,97.20920612779875,95.81385729058945,93.44364012409514,97.39400206825233,26.58,111.23,121.9,1032222752.63,20260630
186,300077,国民技术,半导体,38.333333333333336,97.1853834340547,93.43123061013443,96.23578076525337,91.56153050672182,38.41,42.11,31.35,3974861561.93,20260630
187,300821,东岳硅材,化工原料,38.0,97.10215517389467,94.52740434332989,94.53981385729058,94.51913133402276,31.21,65.54,20.56,2033835274.13,20260630
188,301366,一博科技,元器件,37.666666666666664,97.05149673442884,95.78903826266804,97.04239917269906,94.95346432264736,44.41,70.34,61.17,955623969.05,20260630
189,600160,巨化股份,化工原料,37.333333333333336,97.03376885734212,92.91416752843847,97.2699069286453,90.01034126163393,45.95,34.1,53.01,5282766195.0,20260630
190,300083,创世纪,机床制造,37.0,96.98271875547555,94.27507755946226,95.86349534643226,93.21613236814892,36.47,53.21,13.62,2195908554.01,20260630
191,301182,凯旺科技,元器件,36.666666666666664,96.9738410743918,96.5253360910031,96.0910031023785,96.81489141675284,37.6,97.0,103.27,454055494.84,20260630
192,301095,广立微,半导体,36.333333333333336,96.94318146681006,93.770423991727,94.78800413650465,93.09203722854188,32.05,52.82,118.05,2767498206.2,20260630
193,300005,探路者,服饰,36.0,96.93245197841047,95.43743536711479,97.8076525336091,93.8572905894519,51.17,59.49,22.6,1103766460.86,20260630
194,301321,翰博高新,元器件,35.66666666666667,96.88762724733482,96.27300930713548,96.48397104446742,96.13236814891417,40.38,83.2,44.15,530063832.21000004,20260630
195,603757,大元泵业,机械基件,35.333333333333336,96.83291475845768,95.40434332988625,94.12616339193382,96.2564632885212,29.39,85.91,75.76,1069556494.0,20260630
196,301362,民爆光电,电气设备,35.0,96.81445165546077,94.8210961737332,91.64426059979317,96.93898655635988,20.6,99.91,183.92,1453860731.4299998,20260630
